Pos.,Jogador,Equipe,JO,Min,EF,PTS,RT,AS,BR,TO,ER
100,Arthur #4,BRB/Brasília,20,22.87,8.2,9.4,2.75,1.05,0.8,0.05,1.1
101,Nogueira #92,Fortaleza B. C.,10,17.62,8.1,3.5,4.0,2.8,0.5,1.4,1.6
102,Dawkins #10,São Paulo,30,17.7,8.1,7.0,1.8,2.3,0.9,0.03,0.87
103,Gegê #19,Corinthians,26,20.2,8.08,4.31,2.96,3.81,1.27,0.0,1.23
104,João Vitor #0,UNIFACISA,13,18.24,8.0,7.08,4.85,0.69,0.31,1.38,1.62
105,Barnes #34,UNIFACISA,31,21.51,7.97,10.74,1.1,1.9,0.58,0.0,1.19
106,Cauê #8,Fortaleza B. C.,26,24.07,7.88,5.65,2.88,2.65,0.88,0.27,1.08
107,Wiggins #15,Cerrado Basquete,15,24.6,7.87,13.67,2.87,0.73,0.6,0.27,1.8
108,L. Cauê #23,Corinthians,32,14.98,7.81,5.91,4.16,0.66,0.19,0.44,1.34
109,Lessa #32,Mogi,35,22.86,7.8,5.94,2.83,2.26,1.26,0.0,1.63
110,Renato #15,Corinthians,27,23.73,7.74,7.15,4.04,1.41,0.48,0.37,1.48
111,Leal #2,Pato Basquete,32,18.7,7.63,7.0,4.41,0.53,0.5,0.41,1.34
112,Nezinho #23,BRB/Brasília,25,26.26,7.6,10.32,2.68,4.92,1.16,0.0,3.76
113,Sahdi #32,UNIFACISA,15,19.11,7.53,6.2,2.2,4.6,0.93,0.0,2.2
114,Rashaun #17,Fortaleza B. C.,30,23.92,7.53,9.53,2.53,1.87,0.73,0.13,1.27
115,Isaac #7,São Paulo,24,16.3,7.46,6.38,1.88,0.88,0.58,0.04,0.25
116,Pecos #23,UNIFACISA,33,18.38,7.39,5.42,2.48,3.24,0.85,0.03,1.12
117,G. Basílio #10,Pinheiros,27,23.0,7.3,8.59,2.0,2.04,1.0,0.04,1.19
118,Pedro #9,KTO/Caxias do Sul,32,21.34,7.28,6.84,2.84,2.0,0.78,0.22,1.5
119,Mogi #19,Mogi,28,17.42,7.18,5.75,3.89,1.39,0.46,0.14,0.86
120,Humberto #19,Pinheiros,26,31.63,7.04,10.58,3.35,2.54,1.04,0.38,2.92
121,Barbosa #32,Paulistano,29,17.2,6.9,4.62,5.34,1.14,0.66,0.14,0.59
122,Jimmy #18,Paulistano,33,25.29,6.85,8.52,3.03,1.48,0.64,0.03,1.09
123,Lucas #10,Pato Basquete,27,22.34,6.78,8.15,2.07,3.15,0.78,0.0,1.78
124,Servelin #3,Pato Basquete,29,19.62,6.76,6.86,2.24,0.79,0.76,0.1,0.86
125,B. Fiorotto #21,Cerrado Basquete,16,15.74,6.75,5.31,3.75,1.5,0.19,0.0,1.5
126,Marcelão #5,BRB/Brasília,30,16.99,6.6,4.83,4.83,0.63,0.33,0.2,1.33
127,Luizinho #11,VipTech CMB,30,19.61,6.53,6.6,3.77,1.5,0.63,0.2,1.8
128,Lucas Lima #4,Cerrado Basquete,30,20.99,6.4,5.73,2.37,2.1,1.07,0.1,1.03
129,Queiros #3,Minas,32,16.34,6.09,6.06,2.75,0.75,0.41,0.0,0.91
130,Sena #7,Pinheiros,21,15.12,5.95,7.0,1.57,1.43,0.86,0.0,1.0
131,Gerson #1,São Paulo,25,13.44,5.8,4.64,2.72,0.12,0.44,0.32,0.4
132,Castellon #8,VipTech CMB,29,19.6,5.72,6.72,3.03,0.38,0.69,0.07,0.66
133,Augusto #55,Pato Basquete,25,21.44,5.72,7.2,2.0,1.76,1.08,0.04,1.24
134,Alex #13,Cerrado Basquete,26,15.25,5.54,3.96,3.23,1.04,0.69,0.54,1.0
135,Von Haydin #30,Cerrado Basquete,29,17.51,5.48,6.1,2.52,1.0,0.59,0.03,0.86
136,Rafa Moreira #9,Minas,28,14.85,5.46,5.25,1.96,0.68,0.36,0.14,0.75
137,Jhonatan #7,Flamengo,29,17.94,5.34,4.14,2.59,0.93,0.45,0.1,0.62
138,T. Faria #1,Pinheiros,6,15.14,5.17,6.67,0.83,0.83,0.5,0.0,0.5
139,Pezão #21,VipTech CMB,20,10.81,5.15,3.7,2.7,0.55,0.5,0.15,0.65
140,Dikembe #20,Bauru,35,13.64,5.09,4.46,3.03,0.26,0.63,0.29,0.83
141,Sérgio #1,Cerrado Basquete,30,14.9,5.0,3.57,3.67,0.6,0.47,0.63,1.33
142,Frierson #3,VipTech CMB,30,18.95,5.0,7.7,1.7,0.9,0.5,0.0,1.2
143,Pedro Nunes #24,Flamengo,29,14.53,4.79,4.38,2.52,1.24,0.59,0.07,0.52
144,Doria #7,Paulistano,33,14.02,4.79,3.91,3.06,0.79,0.45,0.21,0.55
145,D. Souza #12,Pinheiros,9,12.87,4.67,4.22,3.11,0.56,0.11,0.22,0.89
146,Jefferson #0,BRB/Brasília,25,18.98,4.56,6.4,1.24,1.92,0.52,0.04,1.76
147,W. Sena #21,Pinheiros,26,14.21,4.46,5.58,3.35,0.46,0.31,0.08,0.85
148,Magna #19,VipTech CMB,30,14.03,4.4,4.9,2.0,0.93,0.2,0.1,0.7
149,Kurtz #34,Mogi,32,9.6,4.34,4.09,2.31,0.31,0.0,0.25,0.88
150,J. Socas #54,BRB/Brasília,3,18.72,4.33,3.33,3.0,2.33,0.67,0.0,2.0
151,R. Rachel #20,Flamengo,22,7.75,4.18,2.73,2.23,0.14,0.41,0.32,0.41
152,Tom #40,VipTech CMB,28,11.19,4.18,3.43,2.86,0.43,0.36,0.32,0.61
153,Cassiano #5,Mogi,27,10.3,4.15,3.04,1.41,2.11,0.26,0.07,1.04
154,Rodrigues #16,Pato Basquete,30,9.05,4.0,3.43,1.63,0.33,0.5,0.07,0.53
155,Schneider #18,Fortaleza B. C.,23,16.22,3.91,6.61,1.61,0.65,0.57,0.0,0.61
156,Gabriel #12,Pato Basquete,11,12.91,3.91,3.82,1.55,0.91,0.45,0.27,0.73
157,Adyel #4,Sesi Franca,32,10.71,3.88,3.47,1.69,1.25,0.56,0.13,0.69
158,Alexandrino #13,UNIFACISA,19,12.32,3.79,2.42,2.26,0.37,0.26,0.21,0.42
159,Ambrosino #35,Cerrado Basquete,28,13.85,3.71,3.32,2.61,0.43,0.54,0.14,0.86
160,Valter #28,Pinheiros,14,12.39,3.43,4.07,1.21,0.71,0.5,0.07,1.21
161,Alex #10,Fortaleza B. C.,26,18.78,3.38,4.69,2.31,0.77,0.42,0.08,0.77
162,Zubiaurre #31,Pinheiros,24,11.93,3.33,3.42,1.17,1.5,0.33,0.13,1.04
