Pos.,Jogador,Equipe,JO,Min,EF,PTS,RT,AS,BR,TO,DD,TD
122,Márcio #3,Sesi Franca,10,16.82,8.7,7.2,4.0,0.5,0.2,0.7,0.0,0.0
123,Emanuel Matias #11,Bauru,10,3.9,1.0,0.9,0.7,0.0,0.2,0.0,0.0,0.0
124,Gabriel #8,BRB/Brasília,11,10.41,4.09,4.45,0.73,1.64,0.27,0.0,0.0,0.0
125,Gabriel #12,Pato Basquete,11,12.91,3.91,3.82,1.55,0.91,0.45,0.27,0.0,0.0
126,Felipe #16,Mogi,11,3.86,1.64,0.64,1.36,0.27,0.0,0.27,0.0,0.0
127,Adriano Big #4,KTO/Caxias do Sul,11,7.59,0.18,1.27,1.64,0.0,0.0,0.0,0.0,0.0
128,Gegê #19,Corinthians,11,24.62,11.18,6.45,3.45,4.55,1.82,0.0,0.0,0.0
129,Pedro Nunes #24,Flamengo,11,8.18,1.55,1.73,1.18,0.82,0.36,0.0,0.0,0.0
130,Beto #5,Paulistano,11,4.62,0.36,0.45,0.73,0.18,0.45,0.0,0.0,0.0
131,Cauê #8,Paulistano,11,29.03,12.91,13.91,3.36,3.55,1.27,0.55,0.0,0.0
132,Buffat #9,Pinheiros,11,23.05,7.73,9.45,2.91,2.18,0.36,0.18,0.0,0.0
133,Edu Marília #11,Sesi Franca,11,5.48,3.0,2.82,1.27,0.45,0.18,0.09,0.0,0.0
134,Johnson Sr #22,Minas,12,28.94,17.08,14.58,4.5,3.58,1.17,0.17,0.0,0.0
135,Gui Abreu #33,Sesi Franca,12,18.89,8.58,6.5,3.25,1.0,0.42,0.33,0.0,0.0
136,Jhonatan #7,Flamengo,12,20.73,5.33,3.33,3.5,1.08,0.25,0.17,0.0,0.0
137,Dalaqua #8,Corinthians,12,9.5,1.08,2.17,0.5,0.42,0.0,0.0,0.0,0.0
138,Fuller #2,Corinthians,12,33.61,14.33,20.17,2.83,2.67,0.58,0.0,0.0,0.0
139,Sualisson #14,Fortaleza B. C.,12,25.33,8.08,8.25,4.67,0.75,0.83,0.75,0.0,0.0
140,Languas #20,Paulistano,12,7.83,3.08,2.08,1.67,0.0,0.17,0.0,0.0,0.0
141,Alex #13,Cerrado Basquete,12,13.44,5.08,4.17,2.33,0.92,0.67,0.42,0.0,0.0
142,Brite #3,Fortaleza B. C.,12,27.27,10.58,11.58,1.83,2.83,1.58,0.08,0.0,0.0
143,Parodi #21,Minas,12,23.45,13.17,11.92,2.92,5.42,1.58,0.08,0.0,0.0
144,Barnes #34,UNIFACISA,13,21.96,8.15,10.69,1.38,2.23,0.62,0.0,0.0,0.0
145,Tom #40,VipTech CMB,13,10.35,4.77,3.62,2.62,0.38,0.23,0.23,0.0,0.0
146,M. Douglas #13,Pinheiros,13,7.17,1.38,1.92,1.38,0.0,0.15,0.15,0.0,0.0
147,Fuller #14,Cerrado Basquete,13,31.74,12.54,15.23,4.15,3.23,0.62,0.15,0.0,0.0
148,Rodrigues #16,Pato Basquete,13,7.97,2.62,1.85,1.23,0.46,0.46,0.08,0.0,0.0
149,Laster #14,BRB/Brasília,13,32.51,12.54,14.54,5.23,1.0,0.85,0.08,0.0,0.0
150,R. Rachel #20,Flamengo,13,7.7,3.23,2.08,1.85,0.08,0.31,0.31,0.0,0.0
151,Vezarinho #10,Corinthians,13,13.1,3.15,3.54,1.77,0.85,0.23,0.08,0.0,0.0
152,Demétrio #71,Flamengo,13,19.39,11.31,8.62,5.46,1.0,0.77,0.46,0.0,0.0
153,Gerson #1,São Paulo,13,10.81,4.08,3.31,1.77,0.0,0.31,0.31,0.0,0.0
154,Fischer #1,Corinthians,13,24.33,12.92,12.77,2.62,3.38,1.0,0.0,0.0,0.0
155,Ambrosino #35,Cerrado Basquete,13,11.4,3.85,3.08,2.31,0.23,0.54,0.15,0.0,0.0
156,Alex #10,Fortaleza B. C.,13,21.39,4.0,5.77,2.85,0.69,0.46,0.08,0.0,0.0
157,W. Sena #21,Pinheiros,13,16.38,5.38,6.0,3.85,0.54,0.38,0.15,0.0,0.0
158,Jefferson #0,BRB/Brasília,13,23.45,6.08,7.46,1.69,2.69,0.69,0.08,0.0,0.0
159,Eugeniusz #6,KTO/Caxias do Sul,14,8.5,1.07,2.57,1.14,0.71,0.21,0.0,0.0,0.0
160,Queiros #3,Minas,14,14.97,6.64,6.14,2.86,0.5,0.36,0.0,0.0,0.0
161,Von Haydin #30,Cerrado Basquete,14,19.51,7.14,7.71,2.86,0.93,0.57,0.07,0.0,0.0
162,Valter #28,Pinheiros,14,12.39,3.43,4.07,1.21,0.71,0.5,0.07,0.0,0.0
163,Rashaun #17,Fortaleza B. C.,14,24.99,9.93,10.57,3.21,2.14,0.86,0.07,0.0,0.0
164,B. Fiorotto #21,Cerrado Basquete,14,16.84,7.21,5.79,4.21,1.57,0.0,0.0,0.0,0.0
165,Mineiro #12,Flamengo,14,24.36,11.86,9.29,4.79,1.79,0.86,0.36,0.0,0.0
166,Gemadinha #35,UNIFACISA,14,10.55,3.36,4.07,0.64,0.86,0.29,0.0,0.0,0.0
167,Adyel #4,Sesi Franca,14,13.2,4.5,3.57,2.14,1.5,0.64,0.21,0.0,0.0
168,R. Stabile #17,KTO/Caxias do Sul,14,10.11,2.36,2.5,1.57,0.71,0.21,0.14,0.0,0.0
169,Alex Garcia #10,Bauru,14,32.32,17.79,14.93,4.64,4.29,1.5,0.07,0.0,0.0
170,Da Silva #7,KTO/Caxias do Sul,14,27.74,14.5,15.43,5.43,0.93,1.0,0.14,0.0,0.0
171,Cauê #8,Fortaleza B. C.,14,22.27,5.93,4.64,2.21,2.0,1.0,0.21,0.0,0.0
172,Gruber #20,Mogi,14,22.11,9.5,10.43,4.14,1.57,0.5,0.93,0.0,0.0
173,Zubiaurre #31,Pinheiros,14,13.72,4.43,4.21,1.5,1.71,0.43,0.21,0.0,0.0
174,Dawkins #10,São Paulo,14,15.07,7.64,6.29,1.57,2.07,1.14,0.07,0.0,0.0
175,Aquiles #20,Pato Basquete,14,15.22,3.07,3.57,1.93,0.64,0.43,0.29,0.0,0.0
176,Matheusinho #9,Pato Basquete,14,23.59,10.0,9.93,3.57,3.86,1.64,0.14,0.0,0.0
177,Fuzaro #6,Sesi Franca,14,30.4,12.36,13.14,3.86,2.14,1.14,0.29,0.0,0.0
178,Gui Deodato #1,Bauru,14,31.75,13.79,13.21,4.71,2.36,1.5,0.5,0.0,0.0
179,Isaac #7,São Paulo,14,13.91,7.14,5.79,1.86,0.79,0.57,0.07,0.0,0.0
180,Ruivo #4,Paulistano,15,30.92,13.53,13.0,2.6,4.0,1.07,0.0,0.0,0.0
181,I. Thornton #0,Pato Basquete,15,31.86,10.0,15.93,3.13,2.07,0.8,0.0,0.0,0.0
182,Frierson #3,VipTech CMB,15,21.18,6.0,9.33,1.4,1.0,0.6,0.0,0.0,0.0
183,Kurtz #34,Mogi,15,10.93,4.53,5.07,2.2,0.33,0.0,0.27,0.0,0.0
184,Larry Taylor #4,Bauru,15,27.22,10.0,8.73,2.87,3.2,1.2,0.0,0.0,0.0
185,Alexei Patrício #3,Bauru,15,8.16,1.93,1.67,1.13,0.6,0.4,0.0,0.0,0.0
186,Augusto #55,Pato Basquete,15,20.9,6.0,6.93,2.33,1.87,1.2,0.07,0.0,0.0
187,Shamell #8,São Paulo,15,29.28,14.27,14.87,2.87,3.2,0.8,0.0,0.0,0.0
188,Teichmann #11,Pinheiros,15,26.72,14.53,6.07,8.67,3.33,1.67,0.67,0.0,0.0
189,Pedro Teruel #12,KTO/Caxias do Sul,15,25.44,8.87,11.8,1.8,2.73,0.8,0.07,0.0,0.0
190,G. Basílio #10,Pinheiros,15,24.4,8.0,9.33,2.07,2.0,0.93,0.0,0.0,0.0
191,Lessa #32,Mogi,15,25.81,6.73,5.33,2.73,2.2,1.87,0.0,0.0,0.0
